city,city_index,recommendation
ADANA,1,CHP
ADIYAMAN,2,YSP
AFYONKARAHİSAR,3,CHP
AKSARAY,4,İYİ
AMASYA,5,CHP
ANKARA,6,CHP
ANTALYA,7,CHP
ARDAHAN,8,CHP
ARTVİN,9,CHP
AYDIN,10,CHP
AĞRI,11,YSP
BALIKESİR,12,CHP
BARTIN,13,CHP
BATMAN,14,YSP
BAYBURT,15,İYİ
BOLU,16,CHP
BURDUR,17,CHP
BURSA,18,CHP
BİLECİK,19,CHP
BİNGÖL,20,YSP
BİTLİS,21,YSP
DENİZLİ,22,CHP
DÜZCE,23,CHP
DİYARBAKIR,24,YSP
EDİRNE,25,CHP
ELAZIĞ,26,CHP
ERZURUM,27,YSP
ERZİNCAN,28,CHP
ESKİŞEHİR,29,CHP
GAZİANTEP,30,CHP
GÜMÜŞHANE,31,İYİ
GİRESUN,32,CHP
HAKKARİ,33,YSP
HATAY,34,CHP
ISPARTA,35,İYİ
IĞDIR,36,YSP
KAHRAMANMARAŞ,37,CHP
KARABÜK,38,CHP
KARAMAN,39,CHP
KARS,40,YSP
KASTAMONU,41,CHP
KAYSERİ,42,CHP
KIRIKKALE,43,CHP
KIRKLARELİ,44,CHP
KIRŞEHİR,45,CHP
KOCAELİ,46,CHP
KONYA,47,CHP
KÜTAHYA,48,CHP
KİLİS,49,CHP
MALATYA,50,CHP
MANİSA,51,CHP
MARDİN,52,YSP
MERSİN,53,CHP
MUĞLA,54,CHP
MUŞ,55,YSP
NEVŞEHİR,56,CHP
NİĞDE,57,CHP
ORDU,58,CHP
OSMANİYE,59,CHP
RİZE,60,CHP
SAKARYA,61,CHP
SAMSUN,62,CHP
SİNOP,63,CHP
SİVAS,64,CHP
SİİRT,65,YSP
TEKİRDAĞ,66,CHP
TOKAT,67,CHP
TRABZON,68,CHP
TUNCELİ,69,YSP
UŞAK,70,CHP
VAN,71,YSP
YALOVA,72,CHP
YOZGAT,73,CHP
ZONGULDAK,74,CHP
ÇANAKKALE,75,CHP
ÇANKIRI,76,İYİ
ÇORUM,77,CHP
İSTANBUL,78,CHP
İZMİR,79,CHP
ŞANLIURFA,80,YSP
ŞIRNAK,81,YSP
